Manufacturer,LCSC Part #,Description,Package,Stock,Type,MFR.Part #,Datasheet,Price (USD),value,tolerance,type,voltage,min_value,max_value
UNIROYAL ELEC,C4360,CHIP RESISTOR - SURFACE MOUNT 36KOHMS ±1% 1/8W 0805 ROHS,0805,12214,CHIP RESISTOR - SURFACE MOUNT,0805W8F3602T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F3602T5E_C4360.pdf,0.0029,36000.0,1.0,Resistor,,35640.0,36360.0
UNIROYAL ELEC,C17656,CHIP RESISTOR - SURFACE MOUNT 390KOHMS ±1% 1/8W 0805 ROHS,0805,26399,CHIP RESISTOR - SURFACE MOUNT,0805W8F3903T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F3903T5E_C17656.pdf,0.0034,390000.0,1.0,Resistor,,386100.0,393900.0
SAMSUNG ELECTRO-MECHANICS,C21895,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 2PF 50V 0603 ROHS,0603,20395,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,CL10C020CB8NNNC,https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL10C020CB8NNNC_C21895.pdf,0.0091,2e-12,5.0,Capacitor,50.0,1.9e-12,2.1e-12
GUANGDONG FENGHUA ADVANCED TECH,C30274,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 6PF 50V 0402 ROHS,0402,57340,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0402CG6R0C500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0402CG6R0C500NT_C30274.pdf,0.0108,6e-12,5.0,Capacitor,50.0,5.7e-12,6.3e-12
GUANGDONG FENGHUA ADVANCED TECH,C1797,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 18PF 50V 0805 ROHS,0805,38526,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0805CG180J500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0805CG180J500NT_C1797.pdf,0.0151,1.8e-11,5.0,Capacitor,50.0,1.7099999999999998e-11,1.89e-11
SAMSUNG ELECTRO-MECHANICS,C39148,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 56PF 50V 0603 ROHS,0603,32274,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,CL10C560JB8NNNC,https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL10C560JB8NNNC_C39148.pdf,0.018,5.6e-11,5.0,Capacitor,50.0,5.32e-11,5.88e-11
GUANGDONG FENGHUA ADVANCED TECH,C1834,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 68PF 50V 0805 ROHS,0805,19795,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0805CG680J500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0805CG680J500NT_C1834.pdf,0.0156,6.8e-11,5.0,Capacitor,50.0,6.459999999999999e-11,7.140000000000001e-11
GUANGDONG FENGHUA ADVANCED TECH,C1755,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 6.8NF 50V 0805 ROHS,0805,36399,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0805B682K500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0805B682K500NT_C1755.pdf,0.0115,,5.0,,50.0,,
GUANGDONG FENGHUA ADVANCED TECH,C1542,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 6.8NF 50V 0402 ROHS,0402,45765,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0402B682K500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0402B682K500NT_C1542.pdf,0.0091,,5.0,,50.0,,
SUNLORD,C27147,HF INDUCTORS 10NH ±5% 300MA 0402 ROHS,0402,58518,HF INDUCTORS,SDCL1005C10NJTDF,https://datasheet.lcsc.com/szlcsc/Sunlord-SDCL1005C10NJTDF_C27147.pdf,0.0054,,5.0,,,,
SAMSUNG ELECTRO-MECHANICS,C47339,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 470NF 10V 0402 ROHS,0402,12203,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,CL05A474KP5NNNC,https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL05A474KP5NNNC_C47339.pdf,0.0068,,5.0,,10.0,,
UNIROYAL ELEC,C17422,CHIP RESISTOR - SURFACE MOUNT 110KOHMS ±1% 1/8W 0805 ROHS,0805,43415,CHIP RESISTOR - SURFACE MOUNT,0805W8F1103T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F1103T5E_C17422.pdf,0.0036,110000.0,1.0,Resistor,,108900.0,111100.0
